asset,variable,sensorID
A001,VAR131,WGDCTrafoPhase1Temp
A001,VAR1329,WHDRGroupOilPress
A001,VAR142,WGDCTrafoPhase3Temp
A001,VAR1492,WTURReactivePower
A001,VAR1534,WROTPitchAngleSP
A001,VAR1624,WNACDirection
A001,VAR2197,WGENPhase2Temp
A001,VAR222,WYAWPressure
A001,VAR2343,WTURReactivePowerAux
A001,VAR2693,WROTSpeed
A001,VAR2762,WROTPitchAngleAvg
A001,VAR2940,WGENPhase3Temp
A001,VAR306,WGENBearNDETemp
A001,VAR3567,WGDCTrafoPhase2Temp
A001,VAR3572,WNACWindSpeed
A001,VAR3734,WTRMBearTemp
A001,VAR3741,WGENBearDETemp
A001,VAR3923,WTRMOilTemp
A001,VAR3931,WHDRGroupOilTemp
A001,VAR4001,WNACAmbTemp
A001,VAR4017,WCNVCosPhi
A001,VAR4068,WTURPowerAux
A001,VAR4352,WGENGenSpeed
A001,VAR4406,WGENPhase1Temp
A001,VAR4508,WCNVNetVoltage
A001,VAR4552,WNACNacelleTemp
A001,VAR4953,WTURPower
A001,VAR948,WNACWindDirection
A002,VAR099,WGENPhase2Temp
A002,VAR1028,WCNVNetVoltage
A002,VAR1119,WROTPitchAngleSP
A002,VAR1212,WTURReactivePower
A002,VAR1346,WNACNacelleTemp
A002,VAR1437,WTRMOilTemp
A002,VAR1570,WYAWPressure
A002,VAR1583,WTURPowerAux
A002,VAR1746,WCNVCosPhi
A002,VAR1957,WNACAmbTemp
A002,VAR2063,WTURReactivePowerAux
A002,VAR2207,WHDRGroupOilPress
A002,VAR2560,WGDCTrafoPhase2Temp
A002,VAR2708,WGENPhase3Temp
A002,VAR2914,WTURPower
A002,VAR3325,WTRMBearTemp
A002,VAR3331,WGENPhase1Temp
A002,VAR3634,WROTPitchAngleAvg
A002,VAR3937,WNACDirection
A002,VAR3959,WHDRGroupOilTemp
A002,VAR4021,WGENBearDETemp
A002,VAR4132,WNACWindSpeed
A002,VAR4293,WGENGenSpeed
A002,VAR4310,WROTSpeed
A002,VAR4349,WGDCTrafoPhase1Temp
A002,VAR4566,WNACWindDirection
A002,VAR4847,WGDCTrafoPhase3Temp
A002,VAR589,WGENBearNDETemp
A003,VAR1099,WTURReactivePower
A003,VAR1160,WCNVNetVoltage
A003,VAR1340,WGDCTrafoPhase1Temp
A003,VAR1506,WTRMBearTemp
A003,VAR2191,WGENGenSpeed
A003,VAR2753,WGENBearNDETemp
A003,VAR2795,WTRMOilTemp
A003,VAR2947,WGENPhase1Temp
A003,VAR3258,WROTSpeed
A003,VAR3260,WNACAmbTemp
A003,VAR3299,WTURPowerAux
A003,VAR3579,WGENPhase3Temp
A003,VAR3642,WYAWPressure
A003,VAR3757,WGENPhase2Temp
A003,VAR3830,WNACWindSpeed
A003,VAR3857,WHDRGroupOilTemp
A003,VAR410,WCNVCosPhi
A003,VAR4105,WTURReactivePowerAux
A003,VAR4224,WTURPower
A003,VAR4226,WROTPitchAngleAvg
A003,VAR4518,WGDCTrafoPhase2Temp
A003,VAR4681,WHDRGroupOilPress
A003,VAR4683,WNACWindDirection
A003,VAR538,WROTPitchAngleSP
A003,VAR561,WNACDirection
A003,VAR587,WNACNacelleTemp
A003,VAR666,WGENBearDETemp
A003,VAR809,WGDCTrafoPhase3Temp
A004,VAR016,WNACAmbTemp
A004,VAR027,WCNVNetVoltage
A004,VAR1086,WROTSpeed
A004,VAR1214,WGENPhase3Temp
A004,VAR1227,WTURReactivePower
A004,VAR1262,WGENGenSpeed
A004,VAR1386,WGENPhase1Temp
A004,VAR1493,WTURPower
A004,VAR2085,WHDRGroupOilTemp
A004,VAR2192,WYAWPressure
A004,VAR235,WGENBearNDETemp
A004,VAR2631,WTURPowerAux
A004,VAR2870,WNACWindDirection
A004,VAR2919,WGDCTrafoPhase2Temp
A004,VAR2936,WGDCTrafoPhase1Temp
A004,VAR2945,WTRMBearTemp
A004,VAR313,WGENBearDETemp
A004,VAR3371,WNACNacelleTemp
A004,VAR343,WTURReactivePowerAux
A004,VAR3887,WROTPitchAngleSP
A004,VAR4141,WNACWindSpeed
A004,VAR4281,WROTPitchAngleAvg
A004,VAR4456,WHDRGroupOilPress
A004,VAR451,WCNVCosPhi
A004,VAR4594,WNACDirection
A004,VAR595,WGDCTrafoPhase3Temp
A004,VAR806,WTRMOilTemp
A004,VAR810,WGENPhase2Temp
A005,VAR059,WGDCTrafoPhase3Temp
A005,VAR1110,WYAWPressure
A005,VAR1250,WTRMBearTemp
A005,VAR1486,WGENGenSpeed
A005,VAR1554,WROTPitchAngleAvg
A005,VAR1684,WROTSpeed
A005,VAR1859,WGENPhase3Temp
A005,VAR2004,WNACWindDirection
A005,VAR2038,WTURPower
A005,VAR2310,WGENPhase2Temp
A005,VAR2660,WGDCTrafoPhase2Temp
A005,VAR3027,WTURReactivePower
A005,VAR3034,WCNVNetVoltage
A005,VAR3059,WTURReactivePowerAux
A005,VAR3060,WGENPhase1Temp
A005,VAR3093,WGDCTrafoPhase1Temp
A005,VAR3688,WGENBearNDETemp
A005,VAR3840,WNACNacelleTemp
A005,VAR3913,WHDRGroupOilPress
A005,VAR4004,WGENBearDETemp
A005,VAR412,WNACDirection
A005,VAR4161,WNACAmbTemp
A005,VAR4367,WTRMOilTemp
A005,VAR4490,WHDRGroupOilTemp
A005,VAR4570,WCNVCosPhi
A005,VAR4571,WROTPitchAngleSP
A005,VAR4804,WTURPowerAux
A005,VAR578,WNACWindSpeed
